,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
1531,17-2081,290,15.1,0.0,95640,3.2,73650,92120,110070,250.792,128.2,3.8,2701.49,2018
1532,17-2110,5740,4.8,0.08,87370,1.6,63780,80450,104540,250.792,128.2,3.8,2701.49,2018
1533,17-2111,3960,5.3,0.06,87200,1.7,64280,80690,104740,250.792,128.2,3.8,2701.49,2018
1534,17-2112,1780,10.0,0.02,87730,2.2,62910,79910,104090,250.792,128.2,3.8,2701.49,2018
1535,17-2130,30,27.6,0.0,75620,4.1,56710,73650,92860,250.792,128.2,3.8,2701.49,2018
1536,17-2131,30,27.6,0.0,75620,4.1,56710,73650,92860,250.792,128.2,3.8,2701.49,2018
1537,17-2140,5290,4.8,0.07,90040,1.5,66430,83380,106500,250.792,128.2,3.8,2701.49,2018
1538,17-2141,5290,4.8,0.07,90040,1.5,66430,83380,106500,250.792,128.2,3.8,2701.49,2018
1539,17-2190,2630,8.3,0.04,77470,2,55800,71540,94750,250.792,128.2,3.8,2701.49,2018
1540,17-2199,2630,8.3,0.04,77470,2,55800,71540,94750,250.792,128.2,3.8,2701.49,2018
1541,17-3000,27110,3.1,0.38,58920,0.8,43130,55970,71270,250.792,128.2,3.8,2701.49,2018
1542,17-3010,18820,3.1,0.26,59230,0.8,43980,56310,71120,250.792,128.2,3.8,2701.49,2018
1543,17-3011,9560,4.7,0.13,57500,1.2,43030,54990,67610,250.792,128.2,3.8,2701.49,2018
1544,17-3012,3990,5.8,0.06,61500,1.5,45610,58460,74370,250.792,128.2,3.8,2701.49,2018
1545,17-3013,3360,5.6,0.05,63170,1.6,46330,59900,76780,250.792,128.2,3.8,2701.49,2018
1546,17-3019,1910,8.3,0.03,56200,2.4,41630,53830,66290,250.792,128.2,3.8,2701.49,2018
1547,17-3020,6180,5.4,0.09,60010,1.8,42840,56940,73490,250.792,128.2,3.8,2701.49,2018
1548,17-3022,1720,6.8,0.02,56150,2.8,40740,53600,69310,250.792,128.2,3.8,2701.49,2018
1549,17-3023,2450,8.8,0.03,60570,2.3,44470,57930,73900,250.792,128.2,3.8,2701.49,2018
1550,17-3024,330,39.0,0.0,65740,7.2,52110,60630,77290,250.792,128.2,3.8,2701.49,2018
1551,17-3025,440,14.7,0.01,65160,11.2,36850,59940,83110,250.792,128.2,3.8,2701.49,2018
1552,17-3026,140,14.4,0.0,60940,3,45980,58330,73340,250.792,128.2,3.8,2701.49,2018
1553,17-3027,480,24.7,0.01,56190,4.7,41710,54110,67950,250.792,128.2,3.8,2701.49,2018
1554,17-3029,610,13.2,0.01,63900,4.1,43980,59410,78540,250.792,128.2,3.8,2701.49,2018
1555,17-3030,2100,21.7,0.03,52930,3.1,37640,49460,63910,250.792,128.2,3.8,2701.49,2018
1556,17-3031,2100,21.7,0.03,52930,3.1,37640,49460,63910,250.792,128.2,3.8,2701.49,2018
1557,19-0000,1400,10.6,0.02,65170,5.2,39950,57700,80210,250.792,128.2,3.8,2701.49,2018
1558,19-1000,100,32.5,0.0,67430,3.9,49850,62760,80640,250.792,128.2,3.8,2701.49,2018
1559,19-1030,60,44.9,0.0,76760,2.2,63030,74600,90680,250.792,128.2,3.8,2701.49,2018
1560,19-2000,240,19.2,0.0,94260,5.3,63960,87320,106980,250.792,128.2,3.8,2701.49,2018
1563,19-2040,150,15.9,0.0,92130,7.7,59670,75830,106260,250.792,128.2,3.8,2701.49,2018
1564,19-2041,70,21.2,0.0,86130,5.9,66790,81820,105060,250.792,128.2,3.8,2701.49,2018
1565,19-2042,80,23.7,0.0,98910,12.8,58190,70980,110770,250.792,128.2,3.8,2701.49,2018
1566,19-3000,170,33.0,0.0,95530,4.9,69450,88530,111220,250.792,128.2,3.8,2701.49,2018
1567,19-3050,170,33.5,0.0,95600,5.1,70060,88840,111190,250.792,128.2,3.8,2701.49,2018
1568,19-3051,170,33.5,0.0,95600,5.1,70060,88840,111190,250.792,128.2,3.8,2701.49,2018
1569,19-4000,880,14.0,0.01,51140,5.5,35680,46260,64450,250.792,128.2,3.8,2701.49,2018
1570,19-4030,100,21.8,0.0,45050,5.7,34250,38540,50870,250.792,128.2,3.8,2701.49,2018
1571,19-4031,100,21.8,0.0,45050,5.7,34250,38540,50870,250.792,128.2,3.8,2701.49,2018
1572,19-4040,180,7.5,0.0,46840,9.9,32080,41460,57430,250.792,128.2,3.8,2701.49,2018
1573,19-4041,180,7.5,0.0,46840,9.9,32080,41460,57430,250.792,128.2,3.8,2701.49,2018
1574,19-4090,510,24.0,0.01,49230,6.2,35830,45040,58490,250.792,128.2,3.8,2701.49,2018
1576,19-4099,220,15.6,0.0,57010,3,43570,55470,67550,250.792,128.2,3.8,2701.49,2018
1577,21-0000,160,24.7,0.0,45410,4.5,37550,44380,49830,250.792,128.2,3.8,2701.49,2018
1578,21-1000,140,27.0,0.0,45740,4,39560,44840,49710,250.792,128.2,3.8,2701.49,2018
1580,21-1090,110,30.5,0.0,45760,4.6,38610,44410,49650,250.792,128.2,3.8,2701.49,2018
1581,21-1099,110,31.8,0.0,46300,4.8,39510,44850,49870,250.792,128.2,3.8,2701.49,2018
1582,23-0000,1830,7.2,0.03,124340,2.3,60190,102950,164360,250.792,128.2,3.8,2701.49,2018
1583,23-1000,1200,6.0,0.02,158910,2,99850,141800,196530,250.792,128.2,3.8,2701.49,2018
1584,23-1010,1190,6.0,0.02,159190,2,100140,142080,196770,250.792,128.2,3.8,2701.49,2018
